date_time,value
2018-02-06 11,204.0
2018-02-06 12,227.0
2018-02-06 13,240.0
2018-02-06 14,233.0
2018-02-06 15,237.0
2018-02-06 16,244.0
2018-02-06 17,161.0
2018-02-06 18,181.0
2018-02-06 19,152.0
2018-02-06 20,135.0
2018-02-06 21,119.0
2018-02-06 22,48.0
2018-02-06 23,27.0
2018-02-07 0,24.0
2018-02-07 1,20.0
2018-02-07 2,17.0
2018-02-07 3,13.0
2018-02-07 4,13.0
2018-02-07 5,15.0
2018-02-07 6,14.0
2018-02-07 7,33.0
2018-02-07 8,77.0
2018-02-07 9,129.0
2018-02-07 10,119.0
2018-02-07 11,168.0
2018-02-07 12,164.0
2018-02-07 13,183.0
2018-02-07 14,209.0
2018-02-07 15,241.0
2018-02-07 16,211.0
2018-02-07 17,173.0
2018-02-07 18,182.0
2018-02-07 19,153.0
2018-02-07 20,117.0
2018-02-07 21,94.0
2018-02-07 22,40.0
2018-02-07 23,21.0
2018-02-08 0,16.0
2018-02-08 1,15.0
2018-02-08 2,14.0
2018-02-08 3,10.0
2018-02-08 4,11.0
2018-02-08 5,11.0
2018-02-08 6,13.0
2018-02-08 7,28.0
2018-02-08 8,73.0
2018-02-08 9,138.0
2018-02-08 10,143.0
2018-02-08 11,205.0
2018-02-08 12,179.0
2018-02-08 13,204.0
2018-02-08 14,215.0
2018-02-08 15,255.0
2018-02-08 16,182.0
2018-02-08 17,205.0
2018-02-08 18,129.0
2018-02-08 19,82.0
2018-02-08 20,58.0
2018-02-08 21,48.0
2018-02-08 22,37.0
2018-02-08 23,21.0
2018-02-09 0,18.0
2018-02-09 1,14.0
2018-02-09 2,8.0
2018-02-09 3,13.0
2018-02-09 4,11.0
2018-02-09 5,13.0
2018-02-09 6,12.0
2018-02-09 7,32.0
2018-02-09 8,83.0
2018-02-09 9,132.0
2018-02-09 10,168.0
2018-02-09 11,184.0
2018-02-09 12,183.0
2018-02-09 13,236.0
2018-02-09 14,157.0
2018-02-09 15,164.0
2018-02-09 16,146.0
2018-02-09 17,163.0
2018-02-09 18,178.0
2018-02-09 19,157.0
2018-02-09 20,133.0
2018-02-09 21,92.0
2018-02-09 22,36.0
2018-02-09 23,22.0
2018-02-10 0,15.0
2018-02-10 1,16.0
2018-02-10 2,9.0
2018-02-10 3,11.0
2018-02-10 4,11.0
2018-02-10 5,11.0
2018-02-10 6,13.0
2018-02-10 7,15.0
2018-02-10 8,35.0
2018-02-10 9,47.0
2018-02-10 10,56.0
2018-02-10 11,60.0
2018-02-10 12,53.0
2018-02-10 13,37.0
2018-02-10 14,40.0
2018-02-10 15,47.0
2018-02-10 16,54.0
2018-02-10 17,58.0
2018-02-10 18,43.0
2018-02-10 19,22.0
2018-02-10 20,26.0
2018-02-10 21,26.0
2018-02-10 22,18.0
2018-02-10 23,15.0
2018-02-11 0,10.0
2018-02-11 1,10.0
2018-02-11 2,10.0
2018-02-11 3,8.0
2018-02-11 4,9.0
2018-02-11 5,7.0
2018-02-11 6,8.0
2018-02-11 7,10.0
2018-02-11 8,13.0
2018-02-11 9,20.0
2018-02-11 10,15.0
2018-02-11 11,28.0
2018-02-11 12,25.0
2018-02-11 13,30.0
2018-02-11 14,33.0
2018-02-11 15,28.0
2018-02-11 16,31.0
2018-02-11 17,35.0
2018-02-11 18,28.0
2018-02-11 19,27.0
2018-02-11 20,27.0
2018-02-11 21,29.0
2018-02-11 22,19.0
2018-02-11 23,19.0
2018-02-12 0,12.0
2018-02-12 1,12.0
2018-02-12 2,11.0
2018-02-12 3,12.0
2018-02-12 4,11.0
2018-02-12 5,10.0
2018-02-12 6,13.0
2018-02-12 7,24.0
2018-02-12 8,56.0
2018-02-12 9,97.0
2018-02-12 10,98.0
2018-02-12 11,163.0
2018-02-12 12,156.0
2018-02-12 13,191.0
2018-02-12 14,228.0
2018-02-12 15,241.0
2018-02-12 16,208.0
2018-02-12 17,210.0
2018-02-12 18,148.0
2018-02-12 19,149.0
2018-02-12 20,100.0
2018-02-12 21,65.0
2018-02-12 22,40.0
2018-02-12 23,18.0
2018-02-13 0,12.0
2018-02-13 1,11.0
2018-02-13 2,11.0
2018-02-13 3,12.0
2018-02-13 4,11.0
2018-02-13 5,10.0
2018-02-13 6,16.0
2018-02-13 7,38.0
2018-02-13 8,83.0
2018-02-13 9,141.0
2018-02-13 10,181.0
2018-02-13 11,237.0
2018-02-13 12,191.0
2018-02-13 13,213.0
2018-02-13 14,173.0
2018-02-13 15,193.0
2018-02-13 16,173.0
2018-02-13 17,163.0
2018-02-13 18,153.0
2018-02-13 19,139.0
2018-02-13 20,122.0
2018-02-13 21,84.0
2018-02-13 22,26.0
2018-02-13 23,16.0
2018-02-14 0,12.0
2018-02-14 1,10.0
2018-02-14 2,9.0
2018-02-14 3,10.0
2018-02-14 4,9.0
2018-02-14 5,9.0
2018-02-14 6,13.0
2018-02-14 7,27.0
2018-02-14 8,77.0
2018-02-14 9,136.0
2018-02-14 10,187.0
2018-02-14 11,225.0
2018-02-14 12,232.0
2018-02-14 13,255.0
2018-02-14 14,202.0
2018-02-14 15,221.0
2018-02-14 16,206.0
2018-02-14 17,175.0
2018-02-14 18,151.0
2018-02-14 19,129.0
2018-02-14 20,114.0
2018-02-14 21,45.0
2018-02-14 22,23.0
2018-02-14 23,14.0
2018-02-15 0,16.0
2018-02-15 1,13.0
2018-02-15 2,9.0
2018-02-15 3,9.0
2018-02-15 4,10.0
2018-02-15 5,11.0
2018-02-15 6,15.0
2018-02-15 7,35.0
2018-02-15 8,59.0
2018-02-15 9,110.0
2018-02-15 10,133.0
2018-02-15 11,158.0
2018-02-15 12,126.0
2018-02-15 13,176.0
2018-02-15 14,169.0
2018-02-15 15,162.0
2018-02-15 16,101.0
2018-02-15 17,65.0
2018-02-15 18,40.0
2018-02-15 19,24.0
2018-02-15 20,19.0
2018-02-15 21,17.0
2018-02-15 22,19.0
2018-02-15 23,17.0
2018-02-16 0,9.0
2018-02-16 1,7.0
2018-02-16 2,9.0
2018-02-16 3,9.0
2018-02-16 4,10.0
2018-02-16 5,8.0
2018-02-16 6,10.0
2018-02-16 7,13.0
2018-02-16 8,13.0
2018-02-16 9,18.0
2018-02-16 10,17.0
2018-02-16 11,21.0
2018-02-16 12,20.0
2018-02-16 13,17.0
2018-02-16 14,19.0
2018-02-16 15,24.0
2018-02-16 16,18.0
2018-02-16 17,19.0
2018-02-16 18,14.0
2018-02-16 19,16.0
2018-02-16 20,15.0
2018-02-16 21,15.0
2018-02-16 22,17.0
2018-02-16 23,13.0
2018-02-17 0,12.0
2018-02-17 1,9.0
2018-02-17 2,9.0
2018-02-17 3,8.0
2018-02-17 4,11.0
2018-02-17 5,9.0
2018-02-17 6,9.0
2018-02-17 7,15.0
2018-02-17 8,13.0
2018-02-17 9,13.0
2018-02-17 10,14.0
2018-02-17 11,30.0
2018-02-17 12,13.0
2018-02-17 13,13.0
2018-02-17 14,18.0
2018-02-17 15,13.0
2018-02-17 16,15.0
2018-02-17 17,14.0
2018-02-17 18,16.0
2018-02-17 19,19.0
2018-02-17 20,15.0
2018-02-17 21,18.0
2018-02-17 22,16.0
2018-02-17 23,15.0
2018-02-18 0,11.0
2018-02-18 1,11.0
2018-02-18 2,10.0
2018-02-18 3,10.0
2018-02-18 4,7.0
2018-02-18 5,9.0
2018-02-18 6,10.0
2018-02-18 7,10.0
2018-02-18 8,13.0
2018-02-18 9,18.0
2018-02-18 10,14.0
2018-02-18 11,20.0
2018-02-18 12,23.0
2018-02-18 13,19.0
2018-02-18 14,24.0
2018-02-18 15,30.0
2018-02-18 16,23.0
2018-02-18 17,20.0
2018-02-18 18,20.0
2018-02-18 19,19.0
2018-02-18 20,18.0
2018-02-18 21,16.0
2018-02-18 22,20.0
2018-02-18 23,15.0
2018-02-19 0,12.0
2018-02-19 1,9.0
2018-02-19 2,10.0
2018-02-19 3,9.0
2018-02-19 4,8.0
2018-02-19 5,7.0
2018-02-19 6,10.0
2018-02-19 7,34.0
2018-02-19 8,60.0
2018-02-19 9,94.0
2018-02-19 10,113.0
2018-02-19 11,152.0
