,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-04-10,25,24,21,20,21,21,27,86,240,330,412,457,414,600,532,523,480,419,368,295,274,222,80,42
2018-04-11,26.0,20.0,19.0,17.0,17.0,14.0,34.0,79.0,280.0,371.0,456.0,478.0,447.0,432.0,506.0,546.0,528.0,424.0,409.0,343.0,258.0,169.0,145.0,40.0
2018-04-12,25,23,18,17,19,20,28,76,183,262,342,423,417,459,450,527,473,445,368,290,232,155,117,67
2018-04-13,36,27,19,26,23,21,30,71,250,419,587,626,459,506,418,448,428,357,388,364,361,221,91,41
2018-04-14,29,34,22,20,23,25,34,48,81,125,150,187,172,152,177,161,168,169,127,112,82,68,64,40
2018-04-15,22.0,22.0,19.0,21.0,17.0,21.0,21.0,28.0,39.0,43.0,53.0,66.0,68.0,89.0,99.0,103.0,107.0,95.0,67.0,80.0,70.0,70.0,70.0,45.0
2018-04-16,37.0,26.0,25.0,24.0,21.0,25.0,34.0,76.0,185.0,310.0,371.0,434.0,402.0,483.0,550.0,529.0,478.0,424.0,445.0,332.0,257.0,180.0,108.0,54.0
2018-04-17,33.0,27.0,20.0,20.0,21.0,22.0,32.0,85.0,175.0,366.0,383.0,403.0,373.0,513.0,520.0,488.0,423.0,424.0,303.0,208.0,158.0,146.0,135.0,45.0
2018-04-18,43,21,18,23,20,17,24,80,184,337,467,501,475,572,515,567,575,602,552,382,321,230,111,58
2018-04-19,39,35,26,27,30,29,36,79,189,343,385,438,472,583,535,538,457,468,353,257,232,133,107,53
2018-04-20,35,30,24,27,20,22,29,69,191,348,403,436,419,427,422,411,377,359,302,261,225,204,110,59
2018-04-21,38.0,29.0,23.0,24.0,30.0,25.0,33.0,39.0,68.0,87.0,94.0,109.0,103.0,103.0,129.0,133.0,118.0,157.0,76.0,69.0,65.0,46.0,56.0,39.0
2018-04-22,30.0,19.0,21.0,19.0,20.0,21.0,19.0,29.0,42.0,55.0,58.0,56.0,60.0,63.0,69.0,71.0,79.0,64.0,59.0,58.0,49.0,38.0,53.0,33.0
2018-04-23,30.0,25.0,22.0,23.0,19.0,20.0,25.0,62.0,151.0,225.0,286.0,301.0,308.0,287.0,328.0,325.0,333.0,282.0,224.0,125.0,109.0,96.0,72.0,50.0
2018-04-24,34.0,23.0,26.0,23.0,19.0,22.0,29.0,65.0,164.0,184.0,263.0,341.0,323.0,310.0,319.0,316.0,308.0,272.0,223.0,142.0,193.0,86.0,97.0,59.0
2018-04-25,34.0,20.0,21.0,22.0,25.0,24.0,28.0,60.0,171.0,222.0,348.0,435.0,352.0,344.0,466.0,423.0,408.0,441.0,371.0,313.0,382.0,114.0,91.0,38.0
2018-04-26,31.0,23.0,24.0,19.0,23.0,24.0,28.0,71.0,135.0,177.0,248.0,295.0,297.0,317.0,406.0,402.0,371.0,336.0,237.0,179.0,189.0,111.0,86.0,58.0
2018-04-27,33,25,23,25,19,13,26,77,187,200,222,268,341,261,356,358,299,269,170,125,125,94,83,54
2018-04-28,34.0,35.0,21.0,19.0,19.0,25.0,29.0,39.0,67.0,61.0,93.0,122.0,137.0,112.0,105.0,150.0,117.0,120.0,87.0,69.0,57.0,59.0,55.0,27.0
2018-04-29,28,47,38,26,23,19,32,22,33,36,65,57,46,59,58,66,58,66,61,54,49,47,43,31
2018-04-30,22.0,20.0,16.0,15.0,18.0,19.0,23.0,66.0,135.0,204.0,262.0,293.0,322.0,276.0,366.0,675.0,615.0,267.0,250.0,189.0,117.0,101.0,80.0,44.0
2018-05-01,32.0,24.0,21.0,19.0,18.0,18.0,28.0,34.0,48.0,106.0,61.0,76.0,93.0,92.0,110.0,117.0,96.0,90.0,75.0,76.0,282.0,58.0,52.0,36.0
2018-05-02,29.0,25.0,22.0,21.0,21.0,19.0,31.0,81.0,160.0,232.0,249.0,404.0,397.0,265.0,388.0,377.0,394.0,355.0,522.0,171.0,124.0,89.0,83.0,42.0
2018-05-03,34,19,24,21,23,24,29,75,141,191,244,255,276,272,278,312,337,285,220,151,101,108,91,38
2018-05-04,27,19,22,19,18,15,25,89,148,192,252,281,253,251,274,299,287,270,190,116,85,74,63,40
2018-05-05,27.0,18.0,20.0,21.0,21.0,20.0,22.0,34.0,81.0,71.0,83.0,95.0,106.0,88.0,99.0,108.0,79.0,85.0,66.0,62.0,84.0,62.0,47.0,32.0
2018-05-06,42,40,18,16,14,21,21,30,37,49,63,49,57,55,67,66,56,57,67,42,38,42,38,37
2018-05-07,20,19,15,16,14,14,22,78,188,183,208,238,267,271,286,443,450,401,223,195,108,71,98,38
2018-05-08,20,19,16,15,16,19,22,87,158,211,394,468,238,244,241,250,259,229,163,126,98,72,67,38
2018-05-09,29,25,23,20,17,20,20,88,151,185,202,231,236,223,253,245,269,257,188,121,107,68,55,41
2018-05-10,29.0,23.0,20.0,22.0,19.0,20.0,23.0,50.0,105.0,162.0,239.0,465.0,445.0,502.0,237.0,444.0,444.0,478.0,338.0,559.0,139.0,77.0,77.0,34.0
2018-05-11,26.0,19.0,19.0,16.0,19.0,19.0,27.0,61.0,122.0,164.0,195.0,245.0,235.0,239.0,277.0,270.0,258.0,257.0,162.0,102.0,74.0,93.0,70.0,33.0
2018-05-12,26,24,21,22,22,20,25,51,95,141,159,238,201,184,193,184,164,191,88,76,65,53,47,36
2018-05-13,26.0,24.0,24.0,19.0,22.0,23.0,26.0,30.0,40.0,42.0,50.0,51.0,57.0,48.0,106.0,128.0,66.0,57.0,56.0,55.0,49.0,56.0,33.0,30.0
2018-05-14,24.0,24.0,22.0,22.0,21.0,20.0,28.0,62.0,126.0,185.0,363.0,327.0,347.0,312.0,362.0,327.0,346.0,444.0,195.0,104.0,105.0,79.0,71.0,38.0
2018-05-15,25,24,19,19,22,25,28,60,110,174,153,202,235,187,194,204,207,192,201,97,78,77,65,36
2018-05-16,28,24,24,25,21,27,29,62,134,165,182,222,208,219,232,234,198,203,169,114,79,73,57,37
2018-05-17,26,27,21,24,26,29,29,96,123,138,190,196,182,197,221,238,216,214,162,119,86,72,63,31
2018-05-18,29,22,21,23,22,20,30,65,119,173,202,214,224,207,356,318,380,184,143,116,84,68,64,36
2018-05-19,26,26,26,26,24,32,34,42,59,78,96,89,99,95,92,87,96,106,76,65,55,44,48,34
2018-05-20,28,22,25,23,23,22,24,29,40,44,43,49,49,52,58,58,46,46,39,36,30,45,34,25
2018-05-21,23,19,20,16,16,16,22,57,141,163,182,227,205,198,210,240,219,199,151,105,86,68,59,39
2018-05-22,25,25,32,18,19,23,35,64,110,139,172,201,221,235,228,232,217,215,172,108,81,85,70,39
2018-05-23,22,25,20,25,23,28,30,72,111,152,190,198,212,192,218,205,206,179,157,105,82,85,57,34
2018-05-24,21.0,27.0,33.0,30.0,23.0,29.0,32.0,62.0,126.0,186.0,208.0,222.0,196.0,223.0,243.0,235.0,228.0,229.0,159.0,106.0,76.0,66.0,55.0,36.0
2018-05-25,27.0,25.0,21.0,16.0,17.0,17.0,25.0,53.0,148.0,130.0,263.0,297.0,310.0,254.0,316.0,291.0,298.0,301.0,298.0,300.0,67.0,64.0,55.0,38.0
2018-05-26,30.0,26.0,27.0,24.0,25.0,26.0,22.0,35.0,58.0,65.0,82.0,90.0,83.0,90.0,95.0,124.0,80.0,74.0,72.0,53.0,49.0,59.0,37.0,23.0
2018-05-27,27.0,19.0,22.0,21.0,21.0,18.0,22.0,22.0,34.0,33.0,41.0,47.0,42.0,45.0,46.0,49.0,53.0,59.0,42.0,38.0,37.0,31.0,30.0,26.0
2018-05-28,19.0,22.0,17.0,19.0,18.0,21.0,21.0,58.0,108.0,138.0,175.0,189.0,179.0,207.0,218.0,208.0,194.0,175.0,161.0,107.0,68.0,63.0,57.0,41.0
2018-05-29,30.0,30.0,29.0,28.0,25.0,27.0,28.0,23.0,38.0,46.0,53.0,286.0,279.0,285.0,298.0,336.0,314.0,317.0,299.0,292.0,57.0,43.0,40.0,30.0
2018-05-30,25.0,23.0,21.0,19.0,24.0,22.0,20.0,50.0,114.0,143.0,168.0,198.0,185.0,213.0,196.0,211.0,189.0,205.0,165.0,121.0,89.0,65.0,60.0,39.0
2018-05-31,31.0,27.0,26.0,22.0,25.0,23.0,28.0,75.0,125.0,164.0,193.0,214.0,200.0,224.0,205.0,234.0,237.0,233.0,172.0,122.0,138.0,104.0,91.0,42.0
2018-06-01,36.0,28.0,28.0,26.0,31.0,28.0,26.0,72.0,114.0,156.0,178.0,248.0,246.0,205.0,196.0,203.0,219.0,189.0,117.0,92.0,68.0,80.0,65.0,31.0
2018-06-02,21,26,34,24,19,21,21,36,44,47,58,63,68,81,86,97,100,93,62,71,48,43,34,36
2018-06-03,27.0,26.0,27.0,23.0,24.0,19.0,27.0,26.0,37.0,42.0,50.0,46.0,52.0,57.0,66.0,60.0,56.0,57.0,47.0,45.0,48.0,44.0,33.0,29.0
2018-06-04,21.0,20.0,19.0,18.0,18.0,19.0,24.0,50.0,100.0,150.0,194.0,217.0,236.0,229.0,215.0,215.0,217.0,210.0,242.0,118.0,88.0,98.0,62.0,42.0
2018-06-05,24.0,25.0,23.0,27.0,26.0,24.0,36.0,57.0,124.0,157.0,174.0,203.0,207.0,197.0,191.0,201.0,172.0,157.0,141.0,87.0,61.0,87.0,50.0,35.0
2018-06-06,26.0,27.0,22.0,20.0,22.0,25.0,24.0,52.0,114.0,133.0,164.0,196.0,206.0,233.0,206.0,216.0,203.0,196.0,154.0,94.0,94.0,83.0,84.0,54.0
2018-06-07,29,25,25,22,23,23,34,64,130,164,187,207,193,205,201,220,203,186,185,113,82,132,65,45
2018-06-08,31.0,30.0,29.0,34.0,27.0,35.0,40.0,70.0,138.0,146.0,170.0,160.0,162.0,184.0,179.0,191.0,184.0,184.0,140.0,88.0,64.0,54.0,52.0,56.0
2018-06-09,36.0,22.0,22.0,21.0,25.0,23.0,27.0,44.0,51.0,57.0,66.0,306.0,341.0,317.0,305.0,270.0,287.0,229.0,65.0,60.0,43.0,44.0,44.0,33.0
2018-06-10,24.0,20.0,23.0,23.0,23.0,26.0,22.0,32.0,40.0,46.0,55.0,63.0,49.0,57.0,46.0,56.0,65.0,53.0,55.0,45.0,52.0,56.0,29.0,29.0
2018-06-11,25.0,25.0,21.0,20.0,21.0,26.0,30.0,73.0,139.0,140.0,172.0,188.0,180.0,208.0,175.0,192.0,183.0,167.0,159.0,128.0,79.0,68.0,59.0,32.0
2018-06-12,28.0,29.0,28.0,24.0,24.0,25.0,26.0,55.0,104.0,147.0,179.0,190.0,177.0,185.0,181.0,176.0,188.0,183.0,170.0,98.0,97.0,80.0,92.0,33.0
2018-06-13,24.0,22.0,21.0,22.0,20.0,18.0,27.0,58.0,104.0,127.0,153.0,166.0,146.0,172.0,165.0,195.0,177.0,187.0,150.0,100.0,79.0,62.0,46.0,30.0
2018-06-14,24.0,19.0,18.0,17.0,21.0,19.0,32.0,61.0,104.0,207.0,158.0,179.0,270.0,299.0,323.0,359.0,346.0,395.0,367.0,127.0,83.0,72.0,53.0,34.0
2018-06-15,21,22,18,16,17,33,20,25,32,49,279,278,243,287,322,284,302,229,184,276,225,33,28,30
2018-06-16,24.0,19.0,19.0,21.0,22.0,17.0,23.0,33.0,51.0,52.0,79.0,90.0,81.0,85.0,95.0,108.0,122.0,87.0,74.0,82.0,56.0,55.0,47.0,33.0
2018-06-17,19.0,23.0,24.0,27.0,22.0,22.0,20.0,28.0,33.0,39.0,44.0,53.0,50.0,51.0,65.0,65.0,82.0,73.0,60.0,48.0,41.0,28.0,32.0,25.0
