date_time,value
2018-02-15 12,58.0
2018-02-15 13,88.0
2018-02-15 14,76.0
2018-02-15 15,86.0
2018-02-15 16,59.0
2018-02-15 17,35.0
2018-02-15 18,20.0
2018-02-15 19,6.0
2018-02-15 20,5.0
2018-02-15 21,5.0
2018-02-15 22,5.0
2018-02-15 23,2.0
2018-02-16 0,1.0
2018-02-16 1,1.0
2018-02-16 2,1.0
2018-02-16 3,1.0
2018-02-16 4,1.0
2018-02-16 5,1.0
2018-02-16 6,1.0
2018-02-16 7,3.0
2018-02-16 8,1.0
2018-02-16 9,4.0
2018-02-16 10,4.0
2018-02-16 11,6.0
2018-02-16 12,5.0
2018-02-16 13,2.0
2018-02-16 14,3.0
2018-02-16 15,4.0
2018-02-16 16,3.0
2018-02-16 17,5.0
2018-02-16 18,3.0
2018-02-16 19,4.0
2018-02-16 20,4.0
2018-02-16 21,2.0
2018-02-16 22,4.0
2018-02-16 23,2.0
2018-02-17 0,1.0
2018-02-17 1,1.0
2018-02-17 2,1.0
2018-02-17 3,1.0
2018-02-17 4,2.0
2018-02-17 5,1.0
2018-02-17 6,1.0
2018-02-17 7,6.0
2018-02-17 8,2.0
2018-02-17 9,2.0
2018-02-17 10,5.0
2018-02-17 11,15.0
2018-02-17 12,4.0
2018-02-17 13,2.0
2018-02-17 14,3.0
2018-02-17 15,3.0
2018-02-17 16,3.0
2018-02-17 17,1.0
2018-02-17 18,3.0
2018-02-17 19,5.0
2018-02-17 20,4.0
2018-02-17 21,4.0
2018-02-17 22,2.0
2018-02-17 23,2.0
2018-02-18 0,2.0
2018-02-18 1,1.0
2018-02-18 2,1.0
2018-02-18 3,1.0
2018-02-18 4,1.0
2018-02-18 5,1.0
2018-02-18 6,2.0
2018-02-18 7,2.0
2018-02-18 8,2.0
2018-02-18 9,5.0
2018-02-18 10,2.0
2018-02-18 11,5.0
2018-02-18 12,10.0
2018-02-18 13,5.0
2018-02-18 14,8.0
2018-02-18 15,14.0
2018-02-18 16,6.0
2018-02-18 17,5.0
2018-02-18 18,4.0
2018-02-18 19,5.0
2018-02-18 20,5.0
2018-02-18 21,5.0
2018-02-18 22,8.0
2018-02-18 23,3.0
2018-02-19 0,2.0
2018-02-19 1,1.0
2018-02-19 2,1.0
2018-02-19 3,1.0
2018-02-19 4,1.0
2018-02-19 5,2.0
2018-02-19 6,2.0
2018-02-19 7,14.0
2018-02-19 8,28.0
2018-02-19 9,49.0
2018-02-19 10,45.0
2018-02-19 11,66.0
2018-02-19 12,77.0
2018-02-19 13,96.0
2018-02-19 14,115.0
2018-02-19 15,145.0
2018-02-19 16,72.0
2018-02-19 17,67.0
2018-02-19 18,37.0
2018-02-19 19,42.0
2018-02-19 20,22.0
2018-02-19 21,25.0
2018-02-19 22,12.0
2018-02-19 23,7.0
2018-02-20 0,3.0
2018-02-20 1,4.0
2018-02-20 2,3.0
2018-02-20 3,4.0
2018-02-20 4,1.0
2018-02-20 5,1.0
2018-02-20 6,3.0
2018-02-20 7,17.0
2018-02-20 8,41.0
2018-02-20 9,56.0
2018-02-20 10,102.0
2018-02-20 11,99.0
2018-02-20 12,104.0
2018-02-20 13,106.0
2018-02-20 14,92.0
2018-02-20 15,85.0
2018-02-20 16,88.0
2018-02-20 17,73.0
2018-02-20 18,35.0
2018-02-20 19,32.0
2018-02-20 20,19.0
2018-02-20 21,17.0
2018-02-20 22,10.0
2018-02-20 23,4.0
2018-02-21 0,2.0
2018-02-21 1,2.0
2018-02-21 2,2.0
2018-02-21 3,2.0
2018-02-21 4,1.0
2018-02-21 5,1.0
2018-02-21 6,2.0
2018-02-21 7,16.0
2018-02-21 8,24.0
2018-02-21 9,58.0
2018-02-21 10,49.0
2018-02-21 11,89.0
2018-02-21 12,84.0
2018-02-21 13,87.0
2018-02-21 14,98.0
2018-02-21 15,96.0
2018-02-21 16,80.0
2018-02-21 17,78.0
2018-02-21 18,35.0
